,user_id,lgb
0,1,"[8293439, 9655212, 9527558, 5577022, 9297615]"
1,3,"[845193, 845705, 1076875, 1056005, 982790]"
2,6,"[895268, 897088, 12757544, 13115971, 9420159]"
3,7,"[840386, 9338009, 983316, 9527174, 993838]"
4,8,"[8181377, 8159536, 1021715, 930385, 983795]"
5,9,"[12171886, 12172071, 8019977, 6039859, 907647]"
6,13,"[886317, 1038985, 9488065, 9859111, 1075007]"
7,14,"[1129609, 861419, 878445, 6979753, 7167084]"
8,15,"[895268, 931757, 1082310, 9881592, 13417590]"
9,16,"[12263788, 844165, 951590, 1035843, 1075368]"
10,17,"[896085, 833351, 842416, 1118046, 924004]"
11,18,"[938118, 914577, 961620, 1029313, 1053628]"
12,19,"[1090286, 1012052, 1000236, 992933, 8181010]"
13,20,"[1075368, 995628, 944836, 901772, 993441]"
14,22,"[1076954, 1104349, 13115981, 1120362, 1130111]"
15,23,"[1076306, 1138858, 1075368, 7409942, 838097]"
16,24,"[1036501, 926905, 1016800, 1008814, 9835619]"
17,25,"[898510, 15926927, 991442, 12949590, 1065593]"
18,26,"[9707137, 972235, 1081533, 9420312, 1038462]"
19,27,"[1102416, 996425, 963686, 1077409, 1058709]"
20,28,"[861419, 6533911, 6533368, 8119129, 1105120]"
21,29,"[898510, 881154, 925437, 837366, 936753]"
22,30,"[908318, 909714, 827667, 961269, 873627]"
23,31,"[907647, 1131133, 968992, 1062128, 7169088]"
24,32,"[1094924, 908312, 1003649, 935993, 993639]"
25,33,"[9831469, 12810472, 1075032, 920844, 1084036]"
26,34,"[844179, 1044078, 879755, 916122, 847573]"
27,35,"[6464165, 864335, 9297062, 994223, 1054215]"
28,36,"[1097991, 7409970, 7410289, 1089452, 849578]"
29,37,"[898448, 1092026, 1056212, 862732, 1097001]"
30,39,"[1127716, 9416729, 880050, 9655212, 6395907]"
31,40,"[1112205, 928263, 928092, 995852, 1083043]"
32,41,"[9419888, 1120009, 958657, 1075275, 843418]"
33,42,"[6602697, 932462, 829621, 842249, 897953]"
34,43,"[1090286, 1065496, 6513810, 8249365, 14077333]"
35,46,"[862335, 979523, 1130517, 821209, 6704207]"
36,47,"[8119318, 904813, 8119103, 6533681, 1039781]"
37,48,"[1043663, 856335, 5572828, 1012913, 1066725]"
